"RF_Weight","XGB_Weight","RMSE","MAE","R2"
0.61,0.39,4.58494478426051,2.95357972939422,0.932685829595963
0.62,0.38,4.59733374429427,2.96399350314147,0.932324467453738
0.63,0.37,4.60985313526898,2.97446495271836,0.931957393470294
0.64,0.36,4.62250189742362,2.98503528398038,0.931584601817563
0.65,0.35,4.635278971673,2.9956056152424,0.931206086863065
0.66,0.34,4.64818329989213,3.00618820197544,0.93082184317097
0.67,0.33,4.66121382519314,3.01702924665383,0.930431865503155
0.68,0.32,4.67436949219469,3.02787029133223,0.930036148820244
0.69,0.31,4.68764924728402,3.03871133601063,0.929634688282626
0.7,0.3,4.70105203887149,3.04980291113393,0.929227479251476
0.71,0.29,4.71457681763765,3.06094963270448,0.928814517289741
0.72,0.28,4.72822253677301,3.07209635427502,0.92839579816313
0.73,0.27,4.74198815221035,3.08324307584557,0.927971317841076
0.74,0.26,4.75587262284975,3.0945800167139,0.927541072497687
0.75,0.25,4.76987491077632,3.10628718375248,0.927105058512689
0.76,0.24,4.78399398147075,3.11807528586418,0.926663272472336
0.77,0.23,4.79822880401264,3.12986338797587,0.926215711170329
0.78,0.22,4.8125783512768,3.14167352618777,0.925762371608691
0.79,0.21,4.82704160012247,3.15362161401737,0.925303250998653
0.8,0.2,4.84161753157567,3.16569830038358,0.924838346761504
0.81,0.19,4.85630513100466,3.1781459480056,0.924367656529432
0.82,0.18,4.87110338828861,3.19059359562762,0.923891178146353
0.83,0.17,4.88601129797963,3.20304124324964,0.923408909668712
0.84,0.16,4.90102785945823,3.21550574079207,0.92292084936628
0.85,0.15,4.91615207708225,3.22800190254213,0.922426995722923
0.86,0.14,4.93138296032946,3.24074346072531,0.921927347437358
0.87,0.13,4.94671952393388,3.25366917071186,0.921421903423894
0.88,0.12,4.96216078801593,3.26659957989042,0.92091066281315
0.89,0.11,4.97770577820649,3.27952998906899,0.920393624952763
0.9,0.1,4.99335352576513,3.29247734668097,0.919870789408067
0.91,0.09,5.00910306769237,3.30545598628751,0.919342155962763
0.92,0.08,5.02495344683633,3.31870383986493,0.918807724619568
0.93,0.07,5.0409037119938,3.33205681338403,0.918267495600843
0.94,0.0599999999999999,5.05695291800573,3.34549314923766,0.917721469349205
0.95,0.0499999999999999,5.07310012584749,3.35900948071393,0.917169646528123
0.96,0.04,5.08934440271379,3.37257996290104,0.916612028022487
0.97,0.03,5.10568482209858,3.38626515980036,0.916048614939163
0.98,0.02,5.12212046386989,3.39995035669969,0.915479408607534
0.99,0.01,5.13865041433983,3.41363555359902,0.914904410580006
1,0,5.15527376632981,3.42732075049834,0.914323622632514
